id,Controle_S_41,Controle_S_40,Controle_S_39,AB_S_19,AB_S_20,AB_S_27,AB_S_28,AB_S_34,AB_S_38,AB_S_9,Alagille_S_13,Alagille_S_16,Alagille_S_2,Alagille_S_5,Alagille_S_6,Alagille_S_7,Alagille_S_8,BSEP_S_15,BSEP_S_17,BSEP_S_18,BSEP_S_24,BSEP_S_36,FIC1_S_23,MDR3_S_1,MDR3_S_14,MDR3_S_31,MDR3_S_33,TJP2_S_25,TJP2_S_26
ENSG00000004939,4.07,37.09,1,0,1.06,0,3.12,4,7.17,0,1.92,6.5,2.83,1.01,18.71,3,0,0,0.91,0,0,0,8.03,6.09,20.51,2,1,1.07,15.04
ENSG00000004948,0,0,0,0,1,2,0,0,0,0,1,0,0,0,0,0,0,1,1,0,1,0,1,0,2,0,0,1,0
ENSG00000004961,214,162,149,301,426,203,305,159,319,354,172,214,356,320,260,363,289,347,320,381,398,366,392,410,372,308,237,277,350
ENSG00000004975,117,219,122,106,282,82,116,138,180,436,155,95,127,123,272,269,196,185,238,231,182,175,142,355,270,175,112,179,302
ENSG00000005001,3,4,36,20,66,35,42,86,36,433,1,6,6,1,25,44,8,71,160,453,18,30,83,76,47,52,10,9,1000
ENSG00000005007,850,671,447,831,998,533,874,684,1031,1392,888,892,1431,1224,1311,1349,982,1340,948,1022,1096,1257,1128,1952,1513,870,655,908,1095
ENSG00000005020,139,124.09,195.01,195.91,248.7,109.48,103.09,223.61,239.3,343.34,122.18,140.9,108.02,115.02,417.01,316.64,200.25,320.02,227.39,205.29,203.91,116.9,259.02,704.49,310.78,208.3,151.08,161.03,234.7
ENSG00000005022,3727.78,2972.95,2014,3551.54,4213.81,2363.75,3986.11,2587,3927.73,4049.12,2222.26,2681.89,3395.52,3281.72,2426.59,3262.92,2895.64,3173.69,3135.64,2870.91,4466.67,3804.49,3606,3541.61,4145,3023.79,2098.55,3279.6,2824.55
ENSG00000005059,12,20,19,76,68.01,55.01,39,131,104.01,153,31,39,31,29,256,143.96,62,84,118,159,51.01,61,79,372.03,99,102,59,74,141
ENSG00000005073,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0
ENSG00000005075,572.1,344.55,361.49,388.17,409.2,260.64,373.06,506.67,431.4,546.72,493.13,191.96,453.2,425.14,298.57,401.44,258.01,432.23,347.61,277.54,434.58,427.66,287.06,618.18,551.08,304.05,235.48,428.35,377.25
ENSG00000005100,322.13,236.33,131,233.87,329.08,129,276.13,163,312,309.07,177.62,207.35,224.27,237.12,452,288.29,209,283,316,280,254,209.12,169,538.41,337.08,301.25,182.11,169,254
ENSG00000005102,0,0,2,3,36,7,2,44,26,29,15,1,0,1,28,14,13,12,25,13,7,4,8,30,11,33,24,4,8
ENSG00000005108,12,38,36,75.5,262.56,41,45,109.47,77,121,16,28.99,16,24,124,70,30.45,47,57.64,67,80,42,53,55,90,71,58,18,104
